time,msd
83300,4.37199
83350,4.37515
83400,4.39402
83450,4.41767
83500,4.43434
83550,4.44382
83600,4.43854
83650,4.42525
83700,4.41208
83750,4.40637
83800,4.41427
83850,4.42479
83900,4.44233
83950,4.46808
84000,4.47537
84050,4.46092
84100,4.43493
84150,4.40932
84200,4.39923
84250,4.40787
84300,4.42991
84350,4.44629
84400,4.45761
84450,4.45797
84500,4.43786
84550,4.4184
84600,4.4064
84650,4.40665
84700,4.42279
84750,4.4496
84800,4.47992
84850,4.50649
84900,4.51159
84950,4.49206
85000,4.46537
85050,4.44174
85100,4.43017
85150,4.43786
85200,4.45917
85250,4.47513
85300,4.4808
85350,4.48117
85400,4.47356
85450,4.45502
85500,4.44173
85550,4.44133
85600,4.4386
85650,4.44652
85700,4.46005
85750,4.46176
85800,4.46958
85850,4.48294
85900,4.49462
85950,4.48885
86000,4.47819
86050,4.47853
86100,4.47991
86150,4.4854
86200,4.48515
86250,4.47956
86300,4.47585
86350,4.47568
86400,4.46726
86450,4.45686
86500,4.46103
86550,4.46718
86600,4.46185
86650,4.45872
86700,4.47259
86750,4.49324
86800,4.51017
86850,4.51792
86900,4.51322
86950,4.49717
87000,4.48343
87050,4.47796
87100,4.46403
87150,4.45752
87200,4.46337
87250,4.47314
87300,4.48043
87350,4.49049
87400,4.49983
87450,4.50509
